"","V1","V2"
"networking",-24.0750467906949,-49.6526753364442
"network-programming",-16.8174511457913,-37.5727015399544
"linux",-59.2863471767648,7.65364044697579
"ftp",-19.9049073664325,-3.66900166204548
"awk",-58.6884341008062,9.64909466383117
"singleton",-19.7735197165003,-28.4730813418175
"sqlalchemy",-18.791524132583,15.5906149998191
"full-text-search",1.85348363800431,-11.6760323703583
"multithreading",-26.513271745281,-53.090653949393
"http-headers",34.6797029771524,-27.5391781941144
"web-services",25.1163981646727,-51.4562114234816
"rest",31.2584191405059,-41.515399365773
"api",-28.7202466041802,12.3167572262544
"gcc",-53.7936932605051,-27.845399966111
"coding-style",-28.5150031207158,-24.5991590776583
"ssh",-50.330008623666,28.2407401618082
"exception",-24.5265015758129,-36.2420545811316
"hash",-26.3993062277808,51.5998204566469
"unix",-54.3710033184749,7.14272597811066
"matplotlib",-15.3560646456398,13.4744633182951
"sqlite",-12.1708152990722,65.9555151163402
"memory-leaks",9.67550557369633,14.5326542134134
"pygame",-18.3089784703595,13.7781629001906
"process",-24.42559074607,-6.20661716704887
"pyqt",-18.6012318083678,13.3566205365099
"tkinter",-32.9183624916795,67.7215872937231
"collections",-26.4385591927002,-40.0139804885273
"thread-safety",-20.2026367143827,-32.5796242735639
"null",-21.227593423299,21.5285971831441
"fortran",-7.53383599804078,3.13139880590376
"php",-51.6347601539737,-35.8833493544703
"c++",-72.6147706188166,-30.8102625483925
"namespaces",6.74945795720737,-34.9935601015372
"c#",-1.94616721960225,-53.4706559951352
"data-structures",-37.526492904984,-29.2406991643096
"scipy",-16.4555056439332,13.3555148918987
"oop",-34.2906499163147,-42.8612996946899
"refactoring",-12.2529176803105,-12.3705512397628
"optimization",-38.4616858511606,-26.9423242350541
"iterator",-38.4408905212846,-39.4422054414757
"format",-26.0508165949327,0.818637338677987
"mysql",-14.7808603484468,32.7008048456266
"encryption",-19.2615465035801,-24.4365827802116
"append",51.7005240256402,7.56600274568876
"flask",-15.5442927412191,15.4624447942629
"locking",-16.8367685158693,-20.554615807198
"dynamic",4.99059129429086,-28.8000981922179
"casting",-31.1453640390618,-34.1565936044549
"sqlite3",-19.5001169258362,18.9494245547111
"templates",-70.4402850101265,-30.0950579234436
"bash",-60.8709401750159,9.69697196195254
"zip",-12.0755139113584,2.43409102260406
"calendar",-0.520131799588159,-19.8921556108707
"formatting",-25.4345434187053,1.444824194297
"hadoop",-7.67763166846938,-21.5674097045885
"ruby-on-rails",-24.4325018010092,-74.1111771706237
"forms",57.2432788666525,-37.5233521102794
"matlab",2.27679273761364,-59.6173688458152
"utf-8",2.0488208435792,-43.2844501481935
"mongodb",4.89050118232284,48.5713373936129
"while-loop",-32.1855751352065,-3.85350971787822
"set",-25.8941188839784,-18.5812719772975
"sed",-58.0784602254608,9.65366684888042
"constructor",-37.6516874100313,-41.0893180347383
"exception-handling",-21.7400421347619,-30.6353728114823
"copy",-23.314699588838,2.08546133382879
"python-2.7",-40.6574449349891,67.5949711627544
"mercurial",-50.1310890840577,26.7094266150547
"synchronization",-18.0797096537594,-32.7213878360556
"timestamp",-20.2015242742788,20.8598361892465
"ios",46.2418887432601,53.5923540684041
"ubuntu",-47.1676212641518,5.54496975067512
"canvas",11.8545539353163,40.4168468322801
"browser",38.41430027608,-3.98170569177578
"popup",18.7401115995031,12.4924916767778
"apache",12.63217275873,-75.1022476962001
"winapi",-74.9228316060151,2.05907606820457
"assembly",-49.7955364363735,-25.5298111285386
"lambda",-2.8866082649379,-61.2031617020292
"queue",-14.3567109178051,-21.0964841465869
"phpunit",19.1160590900601,-16.0537964129768
"console",-8.92036413147311,-1.00902007814246
"terminal",-46.8943520749535,3.96000702271454
"jquery",63.2305781882289,3.63388567941579
"insert",2.52923971963132,-12.6046931352664
"cakephp",24.1360665100141,-22.3504633817951
"frameworks",-12.0453484827834,-17.1735640251285
"compression",-11.7442948538126,-18.7985532694286
"serialization",-25.3952500346813,-31.245520802158
"design",-25.183105966297,-27.8703849942301
"memory",-42.7715848643488,-28.9253630236539
"module",-20.8980010442553,-9.01561047062993
"initialization",-42.9561920403765,-17.4374172148352
"selenium",16.7907474336623,23.9630242970959
"ip",-16.3997256318852,-5.29446019194951
"join",-16.0270691174556,31.7872555980295
"solr",0.241689023318114,-6.23130796063064
"sql-server-2008",27.0640910869003,-60.5497423546323
"sql-update",-18.3483073992167,22.4811470546625
"testing",-16.1009478169652,-11.6724233392592
"prolog",-17.2698229208333,6.40164005304155
"security",37.4786540125543,-38.8518109200243
"validation",41.4643643613845,-42.9471047695286
"io",-36.7111096883874,-30.0467358107603
"caching",31.6657600398172,-40.5422928872401
"image-processing",-12.6893673324858,6.57865669611725
"concurrency",-22.8865345030947,-41.0332202988964
"asp.net",62.135650285734,-18.0201585410366
"visual-studio-2008",-2.59200005314167,-23.8490461788339
"web",27.9438384537747,-4.55257541425096
"mocking",14.8396912043315,-32.4017823082736
"beautifulsoup",-14.3456417437468,15.9500438344404
"select",-15.8731663702763,31.5732125400417
"tree",-23.5432339192734,-13.5955593447683
"stack",-38.8844615683609,-17.3353922552999
"debugging",-25.4840067867576,-6.91103761682417
"syntax",-31.7831995828271,-24.8506897047705
"language-agnostic",-28.3532144118062,-23.5358528345917
"stream",-20.3824544935208,-31.0570384497814
"architecture",19.5483346256145,-35.4373315249736
"scripting",-50.3928419389569,5.58725795171649
"find",-46.4285424105212,3.36010716898398
"linq",-0.997567753599798,-56.7066393506263
"sql-server-2005",26.2763769236927,-58.7130554986896
"compiler-construction",-40.2228050903994,-25.8213740973643
"dependency-injection",28.2313132905115,-43.4205934366327
"cmd",-7.97921608092701,-43.3099592097928
"facebook",19.6831306433372,-20.760316737179
"postgresql",-20.572169122578,30.9130950853478
"parameters",3.857661976849,-29.1304927257702
"reference",-40.5550892599947,-38.295122067213
"callback",9.01584154514952,30.7606112810876
"linked-list",-44.399124626698,-23.3691448700212
"xcode",45.590481782692,62.999974832507
"path",-22.1515717525169,-4.60483700855563
"nosql",-0.77423223796309,-10.6786584037928
"f#",3.17445063289249,-17.1017355142544
"udp",-16.6338681079808,-37.6988273678686
"cron",-39.50037444974,1.95581903118644
"tcp",-24.4126421331186,-50.0437556479223
"properties",1.2560843645729,-29.2565504362314
"arguments",-30.8822133905701,-3.40661003236114
"objective-c",46.2412042033536,53.6121263079245
"int",-37.579921513547,-22.133291468684
"webforms",20.0900256543103,-47.6639088159518
"x86",-38.6615724058791,-13.5735404409521
"emacs",-37.1174935694117,4.45118549385052
"operating-system",-37.8502105462598,-14.4930640656008
"pandas",-33.5911240542147,67.733114999973
"xslt",-6.70631976255581,-76.8633862684459
"vba",35.5601241180554,46.181544979723
"excel-vba",35.4687657296778,46.1560112612935
"excel-formula",74.6746785776502,-7.0245296181643
"google-maps-api-3",12.3513569097546,42.5540082893782
"asp.net-mvc",60.5525317988261,-16.8761733780784
"android",-10.7667586806123,70.1805922895601
"webview",-8.01125024775392,53.3400351944833
"ajax",39.9934186340821,-44.6668500054558
"entity-framework",25.1717633179299,-53.0542267018764
"session",42.3334152795438,-40.7651857512191
"iis-7",22.9584867460786,-45.7261654922124
"asp.net-mvc-3",60.921078857733,-17.1429196007198
"tsql",27.1195871321601,-60.680177080908
"silverlight",51.206540800995,29.8897780198829
"visual-studio-2010",-7.50818010535532,-52.4722687798732
"login",35.8294976414918,-26.2506853230909
"razor",65.123924184771,-20.1535824675374
"sql-server",27.7422728549128,-62.0649248953828
"wpf",56.9708837671108,31.6340543518018
"deployment",-33.7373316632918,17.964759325841
"asynchronous",12.1888777332021,35.790545159382
".net",-2.43099312874143,-54.3408823322935
"jquery-animate",53.6145562037353,8.66948277440301
"codeigniter",25.4800580147224,-19.15826644035
"enums",-29.1432983022045,-34.0163637904289
"javascript-events",11.401691921544,31.635572235382
"responsive-design",35.9012909482722,4.78263004264412
"linq-to-entities",3.33714850040241,-21.3917995251842
"linq-to-sql",6.45465314808341,-57.3867053088851
"wcf",25.0601108205199,-54.9507262832616
"ms-access",74.6783573106691,-7.02476024909403
"migration",-10.8889768613106,-8.50490716775825
"iis",24.6922344381049,-49.5963103038309
"url-rewriting",31.2329021307249,-11.7377583812878
"dom",12.6629069244609,31.2095004968038
"entity-framework-4",22.9033077878979,-48.3788997553691
"drop-down-menu",23.9151783877049,-44.4372198752634
"ado.net",8.05520700212673,-56.9045984248549
"winforms",-5.56062683870878,-53.1211444220904
"certificate",-7.96238057138268,-19.7374746483376
"reflection",-3.74504220551281,-61.3435536049333
"web-config",21.8480394749402,-45.9568784096196
"compiler-errors",-42.2258691406839,-17.2897853953714
"jquery-ui",60.9227845771297,5.14493056005468
"tabs",30.1115995229217,14.1395057262368
"iphone",46.1358883763645,61.3531481393621
"save",10.3750788787491,-13.863917458451
"events",23.8518397596342,26.7574256670378
"layout",30.7422258960341,29.9014749162926
"c#-4.0",27.6314485213123,-46.5677997882653
"orm",-9.14977199385933,-33.1291729687718
"foreign-keys",5.96021884822504,-13.1900940608845
"website",27.3975517040446,-2.61551338613573
"geolocation",8.66745824008174,6.44636082801327
"visual-studio",-7.11316401462122,-52.6214047294188
"jquery-selectors",59.9965335694565,5.93209091553555
"visual-studio-2012",-9.28179185868461,-3.8495297816167
"database-design",-22.4214992002373,25.5706389620093
"rss",18.2155431413938,-0.661561789102921
"combobox",45.0160130429124,28.3501071243286
"textbox",38.1035004202547,21.3785184319334
"sql-server-2008-r2",15.9465262201101,-58.835826185186
"polymorphism",-38.6651938326954,-37.1321330944865
"google-analytics",9.59176454917237,3.11383736910258
"model-view-controller",35.1956685399351,-46.9356390575197
"vb.net",0.0164412059146703,-57.6648387250471
"datatable",45.7083581827706,-35.7971197635704
"gridview",18.7869155988676,-48.4018391129466
"datagrid",49.9276546602961,29.4185593626182
"azure",18.8381660904484,-34.1182400905624
"cookies",37.6896566065864,-36.11329036006
"user-controls",44.6934360223082,26.8839130425323
"xhtml",42.6817707768861,-1.57760627257394
"xsd",10.2409808691868,-41.4167152669292
"multidimensional-array",-32.5878490258652,-22.3764489590132
"data-binding",53.3358587574146,30.5748418518077
"wordpress",29.8539189353907,-10.9835841708322
"group-by",-12.9936143966273,25.1836934420101
"datepicker",53.5243742710661,7.11849613638567
"controller",26.1633547713403,-40.5901847428615
"oracle",70.1144401944639,20.1317229865772
"arraylist",-25.6803780188932,-42.5571050744684
"dll",-5.04489831594996,-43.5513776074185
"coldfusion",5.48878593032619,-7.91910253023383
"redirect",32.2483780833529,-12.278063695699
"node.js",13.558883197878,44.6112986809043
"asp.net-mvc-4",65.9008823583711,-20.9245350000161
"xaml",55.8729909937392,31.3189003756177
"silverlight-4.0",37.6954292885216,22.9651991855164
"highcharts",10.574749511722,34.4729270591837
"checkbox",57.5822673779623,7.84113466207175
"mvvm",54.3557651289105,30.8815192912861
"listbox",45.9274647232582,27.9107777876407
"css-selectors",42.8124470700174,2.99495274583314
"windows-services",-12.8299484316267,-2.71644347263403
"service",-8.00721860571175,65.8956358838019
"soap",10.5095140548504,-23.0981222613699
"backbone.js",3.43748542669535,50.2239762784866
"sms",-6.91414347241463,45.1357614524724
"ssis",10.2863648094491,-55.0608514738331
"android-layout",-9.89447650501027,66.18071960999
"mobile",-5.78110111836384,40.9375534036934
"jquery-mobile",57.8488789745554,6.77651511864891
"cordova",-3.44593043225747,43.5241495769767
"android-intent",-10.5486346609738,69.0210142256887
"hyperlink",32.8440322850671,-1.52798797458023
"google-api",6.82849082816096,4.70260480529446
"windows-runtime",39.7024938919635,23.3048925716519
".net-4.0",0.481812594743824,-24.8405142921597
"stored-procedures",17.2615224827644,-58.9785641776637
"json.net",16.4256263690795,-31.5458437514497
"google-chrome",40.4622305643093,-4.29035454582784
"view",28.0052702840149,-38.1412597879805
"firefox",40.0746123811013,-2.92327097819844
"model",30.479963818973,-37.9871280738668
"eclipse",-58.3529952265149,37.0910603625435
"directory",-21.0387611361893,-5.24697543682428
"email",30.3607521404093,-26.2273963726058
"smtp",-14.8625363317875,-0.94356135455549
"gmail",12.3528398336213,-0.046690267332163
"access-vba",-35.2324428098422,33.5145199675715
"localization",34.8290762680678,-29.2158246477512
"resources",32.2623313420625,17.6030560267744
"timeout",-8.99816572480928,-20.2025875014279
"event-handling",24.0898560212308,25.582058040419
"d3.js",10.0735137984883,37.4390067491278
"button",31.6223665022853,27.5926290769677
"user-interface",56.0497958879412,45.9214979728186
"delegates",-0.119022436322051,-28.5961003319328
"windows-8",34.6886022514294,21.7291495215797
"autocomplete",23.5009539150496,7.68039013705394
"listview",-6.35044126622059,64.8674343914313
"asp.net-web-api",35.3449671391053,-47.4248544329454
"onclick",49.9908123190828,10.2789038969263
"internet-explorer",42.8927741040449,-0.86474804388376
"webserver",19.6581319452209,-7.26342584195867
"windows-phone",18.0676073813291,9.91277194246995
"window",31.3752877905851,22.3227408812672
"version-control",-55.6659183117635,33.1726254930978
"asp.net-mvc-2",66.0480972907204,-20.6280080181653
"ember.js",6.20273362334066,28.9486555771515
"interface",-22.7633978028553,-35.2179896704122
"build",-36.9532247521843,16.0379050787482
"iframe",37.8244717818253,-3.92882658832405
"hover",38.0544638900096,4.67183508959612
"coffeescript",3.80033651738339,49.8139746234322
"telerik",17.8318385797977,-32.7334458588057
"dojo",5.33700306921931,18.4718912309571
"asp-classic",23.5971126440182,-2.14901738852366
"routes",24.6623876316534,-39.2495907276015
"xna",15.9521876296295,8.86176828239884
"routing",25.8619579815761,-40.3148534035449
"navigation",41.7001276317857,-30.1172686500976
"windows-phone-7",43.7035042649997,25.2817004205353
"slider",25.7279094599872,10.5741935606875
"twitter-bootstrap",40.8577919960062,4.59852933711277
"requirejs",4.7714756874292,24.3603678911774
"styles",45.7457028043541,26.8083583219129
"mysqli",48.6576949474588,-15.1910768906871
"click",53.3112177257994,8.09509785133232
"foreach",27.6195820517044,-20.5618205052121
"storyboard",20.0072388348902,66.8513238108875
"windows-store-apps",35.9552141985878,21.2279391970518
"kendo-ui",9.22116811728778,-3.14148643016628
"ef-code-first",20.887341435053,-45.6771896509195
"menu",30.462361025952,12.3781085273389
"spring-mvc",-20.7086764013221,-58.6217551805981
"pagination",11.6352509524886,-11.1542758032769
"ruby-on-rails-3.1",-23.7689524289869,41.5181493562282
".net-3.5",0.706784906586466,-24.5985058732221
"express",10.0349992065069,35.6536803212083
"command",-40.5816452021365,3.41074606426871
"return",-28.7445484441377,-18.4426291789095
"webdriver",4.60395787625125,11.0469350838756
"windows-phone-8",40.2020717806362,22.4760733630587
"nhibernate",27.6299838153076,-44.5814659011246
"pointers",-54.6517369297774,-29.2449731150945
"jquery-plugins",55.4857194468089,6.95973530707025
"radio-button",27.568017230696,11.2567992769732
"datatables",24.6838286673161,9.64064364313464
"background",33.0764666228114,10.5192479914397
"visual-c++",-8.49755193546731,-47.0117530862324
"swing",59.5635726429494,47.2299566309717
"angularjs",13.1722703481174,39.8741489022777
"3d",15.3855841722713,14.2041540729696
"sass",35.1250972388579,3.90138019015667
"twitter-bootstrap-3",36.6513691381157,4.78734859257892
"windows-phone-8.1",17.2527003019614,11.1035100965418
"visual-studio-2013",-8.22634046556787,-3.35087215818424
"get",33.9149251473984,-24.8279645650645
"dependencies",-9.84248244070359,-10.6471292911347
"svg",39.3028993175728,-1.69440703907829
"webkit",30.7864666453571,1.47085749265699
"make",-42.1399357093823,1.07885618759689
"shell",-59.4423187430475,8.878702318445
"include",33.5128845883323,-20.4834950480434
"repository",-49.0989924169993,26.0932785331806
"flash",27.4091948500155,-1.5184238034057
"ffmpeg",-10.6778234475027,3.53640938647142
"youtube-api",6.60764637331652,0.749920870090503
"cygwin",-38.1408048149174,5.52464575277379
"gem",-24.5555379345343,44.2046774668456
"download",40.5392056555993,-32.733642130663
"windows-7",-8.10912460387346,-43.9233830803699
"openssl",-16.8679588495921,-4.7311782961679
"scroll",28.1779511566564,13.0337008061065
"permissions",-10.4835401072476,41.4986303576815
"rubygems",-24.6030610267476,45.0584101768896
"filesystems",-19.0966609476553,-3.5273876049375
"amazon-s3",-5.02813063748464,-8.4113647439926
"amazon-web-services",-6.69382719761219,-8.71918999976354
"makefile",-43.4451497350256,1.15140462081916
"post",36.216444554683,-37.4013837325198
"g++",-45.2366702558756,-15.3717194532935
"raspberry-pi",-9.28156169705292,5.09412571555094
"centos",-37.6697168786564,2.5179406419599
"sharepoint",8.32093732557006,-21.2513938715488
"vbscript",-35.2563058889758,29.7430860720333
"compilation",-37.9298913704258,-17.0629651521347
"position",31.5528419735387,3.31026859163591
"continuous-integration",-36.3695134111467,16.8612604639634
"debian",-37.2669488551435,2.88236920592247
"ruby-on-rails-3",-22.5712302591359,53.3900040820004
"vim",-51.4238185077852,5.96216537815036
"linux-kernel",-39.1864412938168,-10.5778626445714
"ipad",33.6126891774583,74.1768178314795
"powershell",-35.9575447272004,28.3112305349491
"svn",-53.6527692032218,30.7806158971829
"authentication",32.0756063903382,-39.601986218765
"xmlhttprequest",3.85957704002938,27.8877771362028
"https",27.6378884946737,-9.36897009993435
"xampp",18.3491591075471,-8.7002143006528
"ide",-38.6317397366569,15.7513999273043
"icons",28.0254459350726,21.1680258278797
"linker",-40.1792180064003,-13.7605344545473
"db2",-2.87245023969142,10.9824840298255
"server",-5.83338601866325,-18.3520644226592
"uitableview",42.3791014964658,68.7813971587456
"interface-builder",22.5717532056729,62.3343710317466
"monotouch",19.5242093827511,56.630574502849
"ios5",28.1306681648664,72.0833807190265
"treeview",41.1256278963655,25.3090500571789
"mono",1.88705299510435,-19.9481406998226
"crystal-reports",0.776581223949227,7.61302054368047
"uibutton",26.4758745006435,69.4656205528256
"plugins",-38.0752299748689,17.7840232351272
"connection",-9.66048362550044,-18.1957851508062
"actionscript-3",13.9303484812689,4.86488760075731
"xcode4",24.0710921742325,60.1824678215725
"cocoa-touch",43.3066359343818,68.6618318772041
"file-upload",42.3445100169698,-41.3478707566893
"transactions",10.2267354308273,-52.708070698556
"fluent-nhibernate",17.2980094024302,-32.0390737424242
"proxy",-33.8648779101945,14.1705046916293
"internationalization",41.4413076927561,-31.2254696883253
"uiscrollview",22.4851648019942,65.6837061985557
"keyboard",26.5768094435306,18.6594477680762
"datagridview",2.66806746934277,-18.3936680302276
"web-applications",41.8609440137865,-33.8555012850293
"configuration",-33.7270733341083,16.5994754117591
"wsdl",9.5200025102124,-22.1389389199162
"active-directory",9.75326271649521,-56.495843086928
"triggers",-1.94746735700472,14.6904647243711
"msbuild",-6.44594064810701,-2.13442614811698
"tfs",-35.5370389608094,17.8098383877465
"reporting-services",10.4008968466472,-54.7373460057752
"jdbc",47.413085334639,-41.6922864738957
"sharepoint-2010",5.07886435956558,-5.98933655197162
"modal-dialog",24.3875296395998,12.5511600252703
"outlook",-34.8487838646961,32.4299074858832
"oracle11g",67.5954707973447,19.5786412679282
"core-data",42.265575878006,68.0561989876314
"upload",34.9787699593444,-26.0171265845604
"windows-installer",-4.36056784549703,-2.3480897396865
"oracle10g",67.1134159676741,19.4748252161683
"phpmyadmin",-7.71526887721539,19.8792546518424
"com",-8.19160679437139,-45.7284140382164
"timezone",-20.4451632505097,-18.2040758260004
"drag-and-drop",30.1245517195931,22.4883092739968
"passwords",17.7471557527898,-3.72859101603235
"uitextfield",22.6931538561744,63.8355901763762
"serial-port",-8.06205418101053,-0.225958061093904
"dns",21.9834469028419,-7.9789679551933
"vb6",-21.6390782654107,3.3097540377941
"crash",9.55983580964571,13.1524269971722
"dialog",30.4647968847323,16.9031191930505
"uiviewcontroller",31.2618268315018,73.9129010306136
"location",-5.47699307954286,44.1234898191639
"unity3d",1.17662383065377,0.0367797386851535
"xamarin",10.2994572794878,8.95120873308456
"sql-server-2012",15.4464979969632,-58.7672211807159
"asp.net-mvc-5",26.5222180514987,-43.1473557523573
"safari",30.0061859572121,0.766235668515264
"cross-browser",36.6525032503285,-1.50060992557697
"hibernate",-27.0760735491077,-57.9082804053781
"jpa",-20.8355284717657,-58.6220353082502
"notifications",-6.87552851836533,54.3169398748878
"nginx",7.52118155350165,-12.8618060411662
"content-management-system",16.136331288353,-3.30799724332806
"widget",-10.2919786533191,51.2932411063653
"cursor",-1.61794972682416,13.515449644405
"macros",-46.6777634357151,-21.3011651848294
"junit",-20.0946414933195,-41.8231469140057
"jenkins",-39.1299794539537,18.9246705306292
"in-app-purchase",10.7039791460004,10.3694011979575
"django-views",60.9946004092935,-38.2349185104443
"qt",-46.7931741662883,-14.4077824299735
"struct",-53.347954110843,-27.427602254015
"opengl",-47.2509192657931,-14.1071720780382
"ldap",-14.8599445649285,-33.0989619920712
"sdk",-4.40517954481441,45.8507074210234
"mod-rewrite",12.6733467881836,-75.4043384137722
"request",37.0371346303469,-27.8507158821863
"heroku",2.46837681002626,51.4290781174348
"cassandra",2.4683124185985,-2.74716873849848
"scrapy",15.8296986973616,21.8002219631862
"geometry",16.0224199328245,14.264760856635
"intellij-idea",-35.8344226662064,14.1646184652632
"django-forms",63.313474790358,-38.4505824577101
"tinymce",13.3772314884212,-2.82757514094322
"zend-framework",25.7883630008256,-21.0208929450615
"django-models",65.1623019646093,-38.4188549318516
"oauth",11.9979203042731,-1.86194003103746
"playframework",-5.38759855350113,-15.8490042603391
"websocket",2.81674808450647,24.1585333213184
"header",33.4144424881547,-19.9520939922406
"gps",-5.95523356528977,48.052306005175
"netbeans",28.9891224172597,34.757363422918
"hashmap",-24.2653948657556,-41.5108524017199
"less",29.7267677871997,1.78171310799096
"opencv",-14.5581380768717,6.3358166585359
"oauth-2.0",10.2159694509738,-2.50859555999603
"amazon-ec2",-7.75215092555369,-8.88773015597727
"arm",-35.8658411450527,-10.801611558429
"elasticsearch",-0.135727382971478,-4.04314785231628
